Key,File,Type,UsedInMainMenu,NoTranslate,english
perkJavelinMasterRank2LongDesc,progression, perk Str,,,"Spears now inflict 20% more damage and have 20% more range when thrown. Ask a Weaponsmith to craft spears for you."
perkJavelinMasterRank3LongDesc,progression, perk Str,,,"Spears inflict 30% more damage and have 30% more range when thrown. Ask a Weaponsmith to craft spears for you."
perkJavelinMasterRank4LongDesc,progression, perk Str,,,"Spears now inflict 40% more damage and have 40% more range. Ask a Weaponsmith to craft spears for you."
perkBoomstickRank1LongDesc,progression, perk Str,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a noob with a shotgun is not to be messed with. Deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.\nAsk a Weaponsmith to craft shotguns for you."
perkBoomstickRank2LongDesc,progression, perk Str,,,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Deal 20% more damage, 20% faster fire rate, and 15% faster reload.\nIncreases chance to dismember by 10%. Ask a Weaponsmith to craft shotguns for you."
perkBoomstickRank3LongDesc,progression, perk Str,,,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Deal 30% more damage, 30% faster fire rate, and 20% faster reload. Stun enemies for 8 seconds. Ask a Weaponsmith to craft shotguns for you."
perkBoomstickRank4LongDesc,progression, perk Str,,,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Deal 40% more damage, 40% faster fire rate, and 25% faster reload. Ask a Weaponsmith to craft shotguns for you."
perkPummelPeteRank1LongDesc,progression,perk Str,,,"You might not pack a punch but as a roughneck you can swing a club! Deal 10% more damage and attacks do 40% more damage to stunned enemies. Power attacks have a 60% chance to knock foes back down.\nAsk a Weaponsmith to craft clubs or baseball bats for you."
perkPummelPeteRank2LongDesc,progression,perk Str,,,"You are making a name for yourself as a dangerous thug. Deal 20% more damage, attacks do 80% more damage to stunned enemies and power attacks have a 70% chance to knock foes back down. \nAsk a Weaponsmith to craft clubs or baseball bats for you."
perkPummelPeteRank3LongDesc,progression,perk Str,,,"You hit hard enough to be in the big leagues now. Deal 30% more damage, attacks do 120% more damage to stunned enemies and power attacks have a 80% chance to knock foes back down. \nLanding 5 successive hits in a short time causes the last blow to do 100% extra damage.\nAsk a Weaponsmith to craft clubs or baseball bats for you."
perkPummelPeteRank4LongDesc,progression,perk Str,,,"When you said stay down you meant it. Deal 40% more damage, attacks do 160% more damage to stunned enemies and power attacks have a 90% chance to knock foes back down.\n4 successive hits in a short time causes the last blow to do 100% extra damage. \nAsk a Weaponsmith to craft clubs or baseball bats for you."
perkSkullCrusherRank1LongDesc,progression,perk Str,,,You are a bruiser and with a little luck can sometimes knock down geriatric zombies. Deal 10% more damage. 15% chance to knock down enemies with power attacks. \nAsk a Weaponsmith to craft sledgehammers for you."
perkSkullCrusherRank2LongDesc,progression,perk Str,,,"You are now a mauler but don't get too cocky yet. Deal 20% more damage. 30% chance to knock down enemies with power attacks. \nAsk a Weaponsmith to craft sledgehammers for you."
perkSkullCrusherRank3LongDesc,progression,perk Str,,,"You are a certified smasher of things that get in your way. Deal 30% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. \nAsk a Weaponsmith to craft sledgehammers for you."
perkSkullCrusherRank4LongDesc,progression,perk Str,,,"You have nearly perfected the craft of smashing stuff and breaking bones. CDeal 40% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. \nAsk a Weaponsmith to craft sledgehammers for you."
perkBrawlerRank1LongDesc,progression,perk For,,,"Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Deal 10% more damage with fists. Punches to the head negate infection ability.  \nAsk a Weaponsmith to craft knuckle weapons for you."
perkBrawlerRank2LongDesc,progression,perk For,,,"You've been in a few fights and can hold your own. Deal 20% more damage with fists and have a 30% chance to stagger opponents with power attacks. \nAsk a Weaponsmith to craft knuckle weapons for you."
perkBrawlerRank3LongDesc,progression,perk For,,,"All the fighting and scrapping has added up and you are a real slugger now. Deal 30% more damage with fists. Power attacks to the head have a 20% chance to knock down your opponent. \nAsk a Weaponsmith to craft knuckle weapons for you."
perkBrawlerRank4LongDesc,progression,perk For,,,"You are now good enough to compete in professional boxing but smashing zombies faces in will have to do. Deal 40% more damage with fists. Power attacks to the head have a 30% chance to knock down your opponent. \nAsk a Weaponsmith to craft knuckle weapons for you."
perkMachineGunnerRank1LongDesc,progression,perk For,,,"Spray and Pray is your thing. Deal 10% more damage, 5% faster fire rate and 10% faster reload. \nAsk a Weaponsmith to craft machine guns for you."
perkMachineGunnerRank2LongDesc,progression,perk For,,,"You are no commando, but you do what it takes to get the job done. Deal 20% more damage, 10% faster fire rate and 15% faster reload. \nAsk a Weaponsmith to craft machine guns for you."
perkMachineGunnerRank3LongDesc,progression,perk For,,,"All the combat has sharpened your skills and you are now a soldier. Deal 30% more damage, 15% faster fire rate and reload 20% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina. \nAsk a Weaponsmith to craft machine guns for you."
perkMachineGunnerRank4LongDesc,progression,perk For,,,"Your skill now matches the special forces. Deal 40% more damage, 20% faster fire rate and reload 25% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina. \nAsk a Weaponsmith to craft machine guns for you."
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Deal 10% more damage, 10% faster aim, draw and reload with bows. \nAsk a Weaponsmith to craft a bow or crossbow for you."
perkArcheryRank2LongDesc,progression,perk Agi,,,"You still have much to learn, grasshopper. Deal 20% more damage, 20% faster aim, draw and reload with bows. \nAsk a Weaponsmith to craft a bow or crossbow for you."
perkArcheryRank3LongDesc,progression,perk Agi,,,"All the rigorous training has turned you into a marksman with Bows. Deal 30% more damage, 30% faster aim, draw and reload with bows. \nAsk a Weaponsmith to craft a bow or crossbow for you."
perkArcheryRank4LongDesc,progression,perk Agi,,,"You can split a hair you are so good at archery now. Deal 40% more damage, 40% faster aim, draw and reload with bows. \nAsk a Weaponsmith to craft a bow or crossbow for you."
perkGunslingerRank1LongDesc,progression,perk Agi,,,"You're no Wyatt Earp but you're better than the average drifter. Deal 10% more damage, 5% faster fire rate, and 10% faster reload with handguns. \nAsk a Weaponsmith to craft handguns for you."
perkGunslingerRank2LongDesc,progression,perk Agi,,,"You are making a name for yourself, outlaw. Deal 20% more damage, 10% faster fire rate, and reload 15% faster with handguns. \nAsk a Weaponsmith to craft handguns for you."
perkGunslingerRank3LongDesc,progression,perk Agi,,,"You can keep most situations under control, sheriff. Deal 30% more damage, 15% faster fire rate, and reload 20% faster. Critical Damage: 5 successive hits in a short time cause critical damage. \nAsk a Weaponsmith to craft handguns for you."
perkGunslingerRank4LongDesc,progression,perk Agi,,,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Deal 40% more damage, 20% faster fire rate, and reload 25% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage. \nAsk a Weaponsmith to craft handguns for you."
perkDeepCutsRank1LongDesc,progression,perk Agi,,,"You might have a dull blade but you know how to use it. Deal 10% more damage. You can inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding. \nAsk a Weaponsmith to craft knives for you."
perkDeepCutsRank2LongDesc,progression,perk Agi,,,"Your friends say you're a real knifer. Deal 20% more damage. You can inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3. \nAsk a Weaponsmith to craft knives for you."
perkDeepCutsRank3LongDesc,progression,perk Agi,,,"You are a cut above the rest. Deal 30% more damage. You can inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding. \nAsk a Weaponsmith to craft knives for you."
perkDeepCutsRank4LongDesc,progression,perk Agi,,,"You are quite lethal with bladed weapons. Deal 40% more damage. You can inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound. \nAsk a Weaponsmith to craft knives for you."
perkElectrocutionerRank1LongDesc,progression,perk Int,,,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. Deal 10% more damage and stun victims 20% longer. \nAsk a Weaponsmith to craft stun batons for you."
perkElectrocutionerRank2LongDesc,progression,perk Int,,,"You are getting the hang of using stun batons to incapacitate your enemies. Deal 20% more damage, and stun victim 40% longer. \nAsk a Weaponsmith to craft stun batons for you."
perkElectrocutionerRank3LongDesc,progression,perk Int,,,"You are getting dangerous with stun batons. You could probably knock out cattle if the zombies hadn't ate them all. Deal 30% more damage, and stun victims 60% longer. \nAsk a Weaponsmith to craft stun batons for you."
perkElectrocutionerRank4LongDesc,progression,perk Int,,,"You are lethal with stun batons. Deal 40% more damage, and stun victims 80% longer. \nAsk a Weaponsmith to craft stun batons for you."




perkBatterUpBaseballBatsDesc,,,,,"Craft the Baseball Cap Helmet Mod."
perkBatterUpBaseballBatsLongDesc,,,,,"Shield your eyes from the sun no matter what helmet you are wearing. Learn to craft the Baseball Cap Helmet Mod."
perkSpearHunter3SteelSpearsDesc,,,,,"Craft the Burning Shaft Weapon Mod."
perkSpearHunter3SteelSpearsLongDesc,,,,,"Enough flailing in the darkness. Craft the Burning Shaft Weapon Mod and enter the era of Fire."
perkAutoWeaponsMachineGunsDesc,,,,,"Craft the Weapon Flashlight Mod."
perkAutoWeaponsMachineGunsLongDesc,,,,,"Don't suck after bedtime. Craft the Weapon Flashlight Mod."
perkUrbanCombatLandingDesc,,,,,"Craft the Impact Bracing Boots Mod."
perkUrbanCombatLandingLongDesc,,,,,"Make landing on your feet even more appealing. Craft the Impact Bracing Boots Mod."


attITAVRank01Desc,progression,Attribute,,,No fucks given
attITAVRank01LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 15% and stamina penalty by 10%. For heavy armor, reduction for both is 5%"
attITAVRank02Desc,progression,Attribute,,,Indifferent
attITAVRank02LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 30% and stamina penalty by 20%. For heavy armor, reduction for both is 10%"
attITAVRank03Desc,progression,Attribute,,,Blasé
attITAVRank03LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 50% and stamina penalty by 35%. For heavy armor, reduction for both is 17%"
attITAVRank04Desc,progression,Attribute,,,Curious
attITAVRank04LongDesc,progression,Attribute,,,"Reduces light armor movement penalty by 75% and stamina penalty by 50%. For heavy armor, reduction for both is 25%"
attITAVRank05Desc,progression,Attribute,,,Into it
attITAVRank05LongDesc,progression,Attribute,,,"How will new customers find your store? Can craft ?WTS signs??."
attITAVRank06Desc,progression,Attribute,,,Invested
attITAVRank06LongDesc,progression,Attribute,,,"Trading is becoming a way of life. Can craft ?deco??."
attITAVRank07Desc,progression,Attribute,,,Steadfast
attITAVRank07LongDesc,progression,Attribute,,,"Help newcomers set up their own store. Can craft ?deco??."
attITAVRank08Desc,progression,Attribute,,,Dedicated
attITAVRank08LongDesc,progression,Attribute,,,"Sell spare goods to the trader. They don't pay very well, but still. Can craft ?deco??."
attITAVRank09Desc,progression,Attribute,,,Passionate
attITAVRank09LongDesc,progression,Attribute,,,"Max out current professions to learn new ones. Search for the second, third, fourth etc. books at the trader."
attITAVRank10Desc,progression,Attribute,,,Giving ALL the fucks
attITAVRank10LongDesc,progression,Attribute,,,"Parking and accessibility is key to drive foot traffic to your store. Can craft ?parking sign??."

reqAttLevel00ITAV,progression,Attribute,,,"You already know a profession"
reqAttLevel01ITAV,progression,Attribute,,,"Read a 'My X Profession' book to unlock"
reqAttLevel02ITAV,progression,Attribute,,,Passion Level 2
reqAttLevel03ITAV,progression,Attribute,,,Passion Level 3
reqAttLevel04ITAV,progression,Attribute,,,Passion Level 4
reqAttLevel05ITAV,progression,Attribute,,,Passion Level 5
reqAttLevel06ITAV,progression,Attribute,,,Passion Level 6
reqAttLevel07ITAV,progression,Attribute,,,Passion Level 7
reqAttLevel08ITAV,progression,Attribute,,,Passion Level 8
reqAttLevel09ITAV,progression,Attribute,,,Passion Level 9
reqAttLevel10ITAV,progression,Attribute,,,Passion Level 10
allowedProfessionsLevelExceededITAV,,,,,Not yet allowed to learn another profession

perkSmelterDescITAV,progression,perk Pro,,,"Smelt and craft items in the forge and craft 20% faster on workbenches."
perkSmelterNameITAV,progression,perk Pro,,,Smelter
perkSmelterRank1DescITAV,progression,perk Int,,,Apprentice
perkSmelterRank1LongDescITAV,progression,perk Int,,,You are now an apprentice smelter and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster.
perkSmelterRank2DescITAV,progression,perk Int,,,Journeyman
perkSmelterRank2LongDescITAV,progression,perk Int,,,You are now a journeyman smelter and able to do nothing new!
perkSmelterRank3DescITAV,progression,perk Int,,,Expert
perkSmelterRank3LongDescITAV,progression,perk Int,,,You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster. Craft glue cheaper.
perkSmelterRank4DescITAV,progression,perk Int,,,Artisan
perkSmelterRank4LongDescITAV,progression,perk Int,,,You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster. Craft glue cheaper.
perkSmelterRank5DescITAV,progression,perk Int,,,Master
perkSmelterRank5LongDescITAV,progression,perk Int,,,You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster. Craft glue cheaper.

perkMinerITAVDesc,progression,perk Pro,,,"Maximize your mining efforts by increasing harvest of resources and tool damage to bring down rocks and trees faster."
perkMinerITAVName,progression,perk Pro,,,Miner

perkHunterITAVDesc,progression,perk Pro,,,"Become one with the hunt. Gain the ability to track animals and increase damage to and harvest from them."
perkHunterITAVName,progression,perk Pro,,,Hunter

perkCookITAVDesc,progression,perk Pro,,,"Create more filling meals with advanced benefits and learn to cook faster."
perkCookITAVName,progression,perk Pro,,,Cook

perkArmorerITAVDesc,progression,perk Pro,,,"Craft Light and Heavy Armor."
perkArmorerITAVName,progression,perk Pro,,,Armorer
perkArmorerRank1DescITAV,progression,perk Pro,,,Apprentice
perkArmorerRank1LongDescITAV,progression,perk Pro,,,You are now an apprentice armorer and able to create leather armor, iron armor, steel armor and military armor.
perkArmorerRank2DescITAV,progression,perk Pro,,,Journeyman
perkArmorerRank2LongDescITAV,progression,perk Pro,,,You are now a journeyman armorer and able to craft better quality armor.
perkArmorerRank3DescITAV,progression,perk Pro,,,Expert
perkArmorerRank3LongDescITAV,progression,perk Pro,,,You are now an expert armorer and able to craft better quality armor.
perkArmorerRank4DescITAV,progression,perk Pro,,,Artisan
perkArmorerRank4LongDescITAV,progression,perk Pro,,,You are now an artisan armorer and able to craft better quality armor.
perkArmorerRank5DescITAV,progression,perk Pro,,,Master
perkArmorerRank5LongDescITAV,progression,perk Pro,,,You are now a master armorer and able to craft the highest quality armor.

perkWeaponsmithITAVDesc,progression,perk Pro,,,"Weaponsmiths craft ranged and melee weaponry, including explosives."
perkWeaponsmithITAVName,progression,perk Pro,,,Weaponsmith

perkGathererITAVDesc,progression,perk Pro,,,"Specialize in harvesting more crops and crafting seeds."
perkGathererITAVName,progression,perk Pro,,,Gatherer
perkGathererITAVRank1Desc,progression,perk Pro,,,Forager
perkGathererITAVRank1LongDesc,progression,perk Pro,,,"Double the harvest of wild or planted crops. Craft seeds for flowers and decorative plants like goldenrod, chrysanthemum, aloe, and yucca.\nFarm plots cost 30% less to craft."
perkGathererITAVRank2Desc,progression,perk Pro,,,Gardener
perkGathererITAVRank2LongDesc,progression,perk Pro,,,"You can craft seeds for berries and vegetables.\n50% chance to harvest 1 additional crop.\nFarm plots cost 50% less to craft."
perkGathererITAVRank3Desc,progression,perk Pro,,,Farmer
perkGathererITAVRank3LongDesc,progression,perk Pro,,,"Triple the harvest of wild or planted crops."
perkGathererITAVRank4Desc,progression,perk Pro,,,Artisan
perkGathererITAVRank4LongDesc,progression,perk Pro,,,"???."
perkGathererITAVRank5Desc,progression,perk Pro,,,Master
perkGathererITAVRank5LongDesc,progression,perk Pro,,,"???."

hasLearntSmelterITAVTooltip,items,Admin,,,"Profession: Smelter acquired"
hasLearntMinerITAVTooltip,items,Admin,,,"Profession: Miner acquired"
hasLearntHunterITAVTooltip,items,Admin,,,"Profession: Hunter acquired"
hasLearntCookITAVTooltip,items,Admin,,,"Profession: Cook acquired"
hasLearntArmorerITAVTooltip,items,Admin,,,"Profession: Armorer acquired"
hasLearntWeaponsmithITAVTooltip,items,Admin,,,"Profession: Weaponsmith acquired"
hasLearntGathererITAVTooltip,items,Admin,,,"Profession: Gatherer acquired"
drinkJarProfPerkForgettingElixirTooltip,items,Admin,,,Your Profession Perk skill points have been reset.

tutorialTipITAV_title,Journal Tip,,,,"It Takes A Village"
tutorialTipITAV,Journal Tip,,,,"You look rough,\n\nIf you can find the other survivors, you can combine your different strengths to better survive in the wasteland.\n\nIt takes a village!"

MyFirstProfessionTip_title,Journal Tip,,,,Learning Professions
MyFirstProfessionTip,Journal Tip,,,,"To learn a Profession you need to read a 'My X Profession' book. \nThe 'My X Profession' books are bought from the traders and start a quest which rewards a Profession book of your choosing. When you read the chosen Profession book, you learn that Profession. Once you have maxed out a Profession, you will be eligible to read the next 'My X Profession!' book, which allows you to pick an additional Profession.  n\Keep maxing out your Professions to become able to learn new ones!"

quest_myFirstProfession_description_title,Journal Tip,,,,Learning Your First Profession
quest_myFirstProfession_description,Quest,Quest Info,,,"Time to chose your Profession!\n\nProfessions are incredibly strong: only the Smelter can make Forged Iron, only the Cook can make food worth a damn. Choose carefully; only after perfecting your first Profession will you be able to learn a second. The trader has the books, go see them. \n\n...And don't get eaten on the way." 
quest_mySecondProfession_description_title,Journal Tip,,,,My Second Profession
quest_mySecondProfession_description,Quest,Quest Info,,,"Time to chose your second path!\n\nYou will now be able to pick ONE (1) Profession. Only after perfecting this Profession will you be able to learn your third. Talk to a trader to access your third Profession. \n\n...If you live that long... again."

quest_MyFirstProfession_offer,Quest,Quest Info,,,"Picking a Trade \n\nYou only get you first Profession once, so choose carefully. \nOnly after perfecting this first Profession will you be able to learn your second. Talk to a trader to access 'My second Profession!'. \nCoordinate with other survivors to find out what is needed in the community. \n\n...If you live that long."
quest_MyFirstProfession_subtitle,Quests,Quests,,,My First Profession
quest_MyFirstProfession_description,Quests,Quests,,,"Time to chose your Profession!\n\nProfessions are incredibly strong: only the Smelter can make Forged Iron, only the Cook can make food worth a damn. Choose carefully; only after perfecting your first Profession will you be able to learn a second. The trader has the books, go see them. \n\n...And don't get eaten on the way."
quest_MyFirstProfession_title,Quests,Quests,,,Pick a Profession
quest_MyFirstProfession_response,Quests,Quests,,,Trade Profession Quest Response
quest_MyFirstProfession_statement,Quests,Quests,,,Pick a Profession
quest_MyFirstProfession_completion,Quests,Quests,,,"Choose what Profession fits you and your community best.\n\nOnce you have read the Profession book, there is no going back.\n\nChoose carefully."

quest_MySecondProfession_offer,Quest,Quest Info,,,"Picking a Trade \n\nYou only get you second Profession once, so choose carefully. \nOnly after perfecting this second Profession will you be able to learn your third. Talk to a trader to access 'My third Profession!'. \n\nDon't forget to trade with the other survivors!"
quest_MySecondProfession_subtitle,Quests,Quests,,,My Second Profession
quest_MySecondProfession_description,Quests,Quests,,,"Talking to the Trader will allow me to chose one more Profession."
quest_MySecondProfession_title,Quests,Quests,,,Pick a Profession
quest_MySecondProfession_response,Quests,Quests,,,Trade Profession Quest Response
quest_MySecondProfession_statement,Quests,Quests,,,Pick a Profession
quest_MySecondProfession_completion,Quests,Quests,,,"Choose what Profession fits you and your community best.\n\nOnce you have read the Profession book, there is no going back.\n\nChoose carefully."

qb_MyFirstProfessionITAV,Items,,,,My First Profession
qb_MyFirstProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your first Profession! Choose your desired Profession from the quest rewards. To unlock a second Profession, you must max out your first one."
qb_MySecondProfessionITAV,Items,,,,My Second Profession
qb_MySecondProfessionITAV_desc,Items,,,,"Reading this book allows you to learn your second Profession! Choose your desired Profession from the quest rewards. To unlock a third Profession, you must max out your first and second one."

quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good Job Survivor,\n\nYou have proved to be capable with much potential. We have marked your map with the nearest White River Outpost location. There you will find a Trader where you can buy and sell goods, and trade stories with one of our friendly citizens.\n\nWelcome Aboard, Noah"


