Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
loadingTipHarvestingResources_title,UI,Loading Screen,x,,Harvesting Resources,,Ressourcen ernten
loadingTipPickaxes,UI,Loading Screen,x,,"Pickaxes are great for harvesting the various ores such as iron, lead, coal, oil shale and potassium nitrate.",,"Spitzhacken eignen sich hervorragend zum Abbau der verschiedenen Erze wie Eisen, Blei, Kohle, Ölschiefer und Kaliumnitrat."
loadingTipPickaxes_title,UI,Loading Screen,x,,Pickaxes,,Spitzhacken
loadingTipProperTools,UI,Loading Screen,x,,"The stone axe works on everything but is slow. Iron tools are fast, steel tools are faster, and motorized tools are fastest. Use axes to harvest wood, pickaxes to harvest stone, metal and ores and knives to harvest meat. Sledgehammers break things easily but are not good at harvesting resources.",,"Die Steinaxt funktioniert mit allem, ist aber langsam. Eisenwerkzeuge sind schnell, Stahlwerkzeuge sind schneller und motorisierte Werkzeuge sind am schnellsten. Verwenden Sie Äxte, um Holz zu ernten, Spitzhacken, um Steine, Metall und Erze zu ernten, und Messer, um Fleisch zu ernten. Vorschlaghämmer zerbrechen Dinge leicht, sind aber nicht gut darin, Ressourcen zu ernten."
loadingTipProperTools_title,UI,Loading Screen,x,,The Right Tool for the job,,Das richtige Werkzeug für den Job
loadingTipStoneAxe,UI,Loading Screen,x,,The stone axe is a primitive starting tool used to gather resources using [action:local:Primary].\n Use [action:local:Secondary] to repair and upgrade blocks.,,Die Steinaxt ist ein primitives Startwerkzeug zum Sammeln von Ressourcen mit [action:local:Primary].\n Verwende [action:local:Secondary], um Blöcke zu reparieren und zu verbessern.
loadingTipStoneAxe_title,UI,Loading Screen,x,,The Stone Axe,,Die Steinaxt
loadingTipUnlockingRecipes,UI,Loading Screen,x,,If a recipe shows a lock item then you cannot craft it yet. Clicking on it will show you one or more ways to unlock it.\n Every recipe that can be unlocked with a perk can also be unlocked by a book or schematic but perks typically offer extra benefits.,,Wenn ein Rezept einen Sperrgegenstand zeigt, kannst du ihn noch nicht herstellen. Wenn Sie darauf klicken, werden Ihnen eine oder mehrere Möglichkeiten zum Freischalten angezeigt.\n Jedes Rezept, das mit einem Extra freigeschaltet werden kann, kann auch durch ein Buch oder eine Skizze freigeschaltet werden, aber Extras bieten normalerweise zusätzliche Vorteile.
loadingTipUnlockingRecipes_title,UI,Loading Screen,x,,Unlocking Recipes,,Rezepte freischalten

starterBundleProfessionNoteITAV

schematicGeneralGroupDesc,items,Book,,,Reading the schematic will teach you how to craft this item. The Armorer is the only one who can make good quality tools, weapons and armor. \n Some items are crafted with parts, and parts can be crafted with fragments.,,Das Lesen des Bauplans wird dir beibringen, wie man diesen Gegenstand herstellt. Der Waffenschmied ist der einzige, der Werkzeuge, Waffen und Rüstungen von guter Qualität herstellen kann. \n Einige Gegenstände werden aus Teilen hergestellt, und Teile können aus Fragmenten hergestellt werden.

starterBundleITAV,items,,,,"Hefty bag",,"Schwere Tasche"
starterBundleITAVDesc,items,,,,"Let's see what's inside this tightly packed bag.",,"Mal sehen, was in dieser dicht gepackten Tasche ist."
starterBundleProfessionNoteITAV,items,,,,"Professions",,"Berufe"
starterBundleProfessionNoteITAVDesc,items,,,,"You have a beautiful brain, but it can't cope with more than THREE professions. \n \n The trader will give you your first profession book for free. To learn more professions after that, you need to craft the relevant profession book. \n \n If you regret your choices, a Forgetting Elixir will set you back to square one.",,"Du hast ein schönes Gehirn, aber es kann nicht mehr als DREI Berufe bewältigen. \n \n Der Händler gibt dir dein erstes Berufsbuch kostenlos. Um danach weitere Berufe zu lernen, musst du den entsprechenden Beruf herstellen Buch. \n \n Wenn du deine Entscheidungen bereust, bringt dich ein Elixier des Vergessens wieder auf den Anfang."

powerizersITAV,,,,,"Powerizer Boots",,"Power-Stiefel"
powerizersITAVDesc,,,,,"Increases speed while jumping by 85%, and reduces stamina cost of jumps by 75%.",,"Erhöht die Geschwindigkeit beim Springen um 85 % und reduziert die Ausdauerkosten beim Springen um 75 %."
powerizersBabyITAV,,,,,"Baby Powerizer Boots",,"Baby-Power-Stiefel"
powerizersBabyITAVDesc,,,,,"Increases speed while jumping by 40%, and reduces stamina cost of jumps by 35%.",,"Erhöht die Geschwindigkeit beim Springen um 40 % und reduziert die Ausdauerkosten beim Springen um 35 %."
workBootsITAV,,,,,"Work Boots",,"Arbeitsschuhe"
workBootsITAVDesc,,,,,"Increases stamina regeneration by 15%.",,"Erhöht die Ausdauerregeneration um 15 %."
workBootsBabyITAV,,,,,"Baby Work Boots",,"Baby Arbeitsstiefel"
workBootsBabyITAVDesc,,,,,"Increases stamina regeneration by 7%.",,"Erhöht die Ausdauerregeneration um 7 %."
statStaminaRegenITAV,ui_display,Item stat,,,"Stamina Regen",,"Ausdauerregeneration"
statRunSpeedITAV,ui_display,Item stat,,,"Run Speed While Jumping",,"Laufgeschwindigkeit beim Springen"
statStaminaReductionITAV,ui_display,Item stat,,,"Stamina Cost Of Jumping",,"Ausdauerkosten beim Springen"
statRunSpeedDay,ui_display,Item stat,,,"Run Speed during daytime",,"Laufgeschwindigkeit tagsüber"

attNameITAV,progression,Attribute,,,"Attribute: Passion",,"Attribut: Leidenschaft"
attitav,progression,Attribute,,,Passion,,Hingabe
attDescITAV,progression,Attribute,,,"Learn a profession to support and contribute to your village.",,"Lernen Sie einen Beruf, um Ihr Dorf zu unterstützen und einen Beitrag zu leisten."
bookProfessionSmelterITAV,Items,perk  book,,,"Profession: Smelter",,"Beruf: Schmelzer"
bookProfessionSmelterITAVDesc,Items,perk  book,,,"Smelters learn how to make the forge, the anvil, bellows and the crucible. Only Smelters can craft Forged Iron and Forged Steel, amongst other things.",,"Schmelzer lernen, wie man die Schmiede, den Amboss, den Blasebalg und den Tiegel herstellt. Nur Schmelzer können unter anderem Geschmiedetes Eisen und Geschmiedeten Stahl herstellen."
bookProfessionMinerITAV,Items,perk  book,,,"Profession: Miner",,"Beruf: Bergmann"
bookProfessionMinerITAVDesc,progression,perk  book,,,"Miners are efficient at gathering materials. They harvest more resources from trees and minerals.",,"Minenarbeiter sind effizient beim Sammeln von Materialien. Sie ernten mehr Ressourcen aus Bäumen und Mineralien."
bookProfessionHunterITAV,Items,perk  book,,,"Profession: Hunter",,"Beruf: Jäger"
bookProfessionHunterITAVDesc,progression,perk  book,,,"Hunters specialize in tracking and hunting animals. They also harvest more resources from animal carcasses.",,"Jäger spezialisieren sich auf das Aufspüren und Jagen von Tieren. Sie ernten auch mehr Ressourcen aus Tierkadavern."
bookProfessionCookITAV,Items,perk  book,,,"Profession: Cook",,"Beruf: Koch"
bookProfessionCookITAVDesc,progression,perk  book,,,"Cooks learn how to prepare more filling meals. These meals give higher health and stamina bonuses. Cooks harvest more from sand, soil and crops, craft cheaper farm plots and can craft seeds from the harvest.",,"Köche lernen, sättigendere Mahlzeiten zuzubereiten. Diese Mahlzeiten geben höhere Gesundheits- und Ausdauerboni. Köche ernten mehr aus Sand, Erde und Feldfrüchten, stellen billigere Farmparzellen her und können Samen aus der Ernte herstellen."
bookProfessionArmorerITAV,Items,perk  book,,,"Profession: Armorer",,"Beruf: Waffenschmied"
bookProfessionArmorerITAVDesc,progression,perk  book,,,"Armorers craft light and heavy armor as well as ranged and melee weapons and tools.",,"Rüstungsschmiede stellen leichte und schwere Rüstungen sowie Fern- und Nahkampfwaffen und -werkzeuge her."
bookProfessionFarmerITAV,Items,perk  book,,,"Profession: Farmer",,"Beruf: Bauer"
bookProfessionFarmerITAVDesc,progression,perk  book,,,"Farmers harvest more from crops and can craft seeds from the harvest as well as basic foods.",,"Landwirte ernten mehr aus der Ernte und können aus der Ernte Saatgut sowie Grundnahrungsmittel herstellen."
bookProfessionChemistITAV,Items,perk  book,,,"Profession: Chemist",,"Beruf: Chemiker"
bookProfessionChemistITAVDesc,progression,perk  book,,,"Chemists create vital items such as gunpowder, medicine, concrete mix... and paint.",,"Chemiker stellen lebenswichtige Gegenstände wie Schießpulver, Medikamente, Betonmischungen ... und Farbe her."
bookProfessionRoboticsITAV,Items,perk  book,,,"Profession: Robotics",,"Beruf: Robotik"
bookProfessionRoboticsITAVDesc,progression,perk  book,,,"Robotics Inventors build turrets and triggers and drones.",,"Robotik-Erfinder bauen Geschütztürme, Auslöser und Drohnen."
bookProfessionScientistITAV,Items,perk  book,,,"Profession: Scientist",,"Beruf: Wissenschaftler"
bookProfessionScientistITAVDesc,progression,perk  book,,,"Scientists craft turrets, triggers and drones, as well as gunpowder, medicine, concrete mix and paint.",,"Wissenschaftler fertigen Geschütztürme, Auslöser und Drohnen sowie Schießpulver, Medikamente, Betonmischungen und Farben."
bookProfessionRunnerITAV,Items,perk  book,,,"Profession: Mechanic",,"Beruf: Mechaniker"
bookProfessionRunnerITAVDesc,progression,perk  book,,,"Mechanics salvage materials, crafts vehicles and special boots (Powerizer Boots and Work Boots).",,"Mechaniker-Bergungsmaterialien, Handwerksfahrzeuge und Spezialstiefel (Powerizer-Stiefel und Arbeitsstiefel)."
bookProfessionReaperITAV,Items,perk  book,,,"Profession: Reaper",,"Beruf: Reaper"
bookProfessionReaperITAVDesc,progression,perk  book,,,"Reapers harvest flesh, organs and fluids from the living and undead alike. They thrive in the violent and the profane.",,"Sensenmänner ernten Fleisch, Organe und Flüssigkeiten von Lebenden und Untoten. Sie gedeihen im Gewalttätigen und im Profanen."
bookProfessionDecoratorITAV,Items,perk  book,,,"Profession: Decorator",,"Beruf: Dekorateur"
bookProfessionDecoratorITAVDesc,Items,perk  book,,,"Decorators can craft invisible dyes as well as clothing mods that change appearance of apparel while adding pockets to them. They can also create a plethora of decorative items, such as flowers, signs, lamps, appliances, posters and clutter.",,"Dekorateure können unsichtbare Farbstoffe sowie Kleidungsmodifikationen herstellen, die das Aussehen von Kleidungsstücken verändern, indem sie ihnen Taschen hinzufügen. Sie können auch eine Fülle von Dekorationsgegenständen wie Blumen, Schilder, Lampen, Geräte, Poster und Unordnung herstellen."

resourceCerebralSpinalFluidITAV,Items,,,,"Cerebrospinal Fluid",,"Cerebrospinalflüssigkeit"
resourceCerebralSpinalFluidITAVDesc,Items,,,,"Cerebrospinal Fluid can be used to transfer seemingly deceased knowledge to the pages of profession books.",,"Cerebrospinalflüssigkeit kann verwendet werden, um scheinbar verstorbenes Wissen auf die Seiten von Berufsbüchern zu übertragen."
resourceMushyBrainITAV,Items,,,,"Mushy Zombie Brain",,"Zermatschtes-Zombie-Gehirn"
resourceMushyBrainITAVDesc,Items,,,,"Some brains are intact enough to extract Cerebrospinal Fluid from. A Reaper is able to obtain more Cerebrospinal Fluid from a single brain than anyone else.",,"Einige Gehirne sind intakt genug, um ihnen Zerebrospinalflüssigkeit zu entziehen. Ein Reaper ist in der Lage, mehr Zerebrospinalflüssigkeit aus einem einzelnen Gehirn zu gewinnen als jeder andere."
drugHealthBarInsanityITAV,Items,,,,"Musty Munchies",,Muffige Knabbereien"
drugHealthBarInsanityITAVDesc,Items,,,,"These candies are softer than you'd expect, and the smell is unpleasantly familiar... But they'll increase your max health, your resistance to critical injuries and the speed at which they heal naturally either way!",,"Diese Bonbons sind weicher als erwartet und der Geruch ist unangenehm vertraut … Aber sie erhöhen deine maximale Gesundheit, deinen Widerstand gegen kritische Verletzungen und die Geschwindigkeit, mit der sie auf natürliche Weise heilen!"
drugSkullCrushersInsanityITAV,Items,,,,"Pungent Punchies",,"Scharfe Punchies"
drugSkullCrushersInsanityITAVDesc,Items,,,,"These candies are softer than you'd expect, and the smell is unpleasantly familiar... But they'll increase your melee damage either way!",,"Diese Bonbons sind weicher als erwartet, und der Geruch ist unangenehm vertraut … Aber sie erhöhen so oder so deinen Nahkampfschaden!"
drugCovertCatsInsanityITAV,Items,,,,"Sneaky Ickies",,"Hinterhältige Ickies"
drugCovertCatsInsanityITAVDesc,Items,,,,"These candies are softer than you'd expect, and the smell is unpleasantly familiar... But they'll increase your sneak attack damage either way!",,"Diese Bonbons sind weicher als erwartet und der Geruch ist unangenehm vertraut …"
rottedBodyITAV,Items,,,,"Safe Zombie",,"Sicherer Zombie"
rottedBodyITAVDesc,Items,,,,"A Zombie tucked away for safekeeping. Luckily you don't need a code to open this one.",,"Ein Zombie, der zur sicheren Aufbewahrung versteckt wurde. Glücklicherweise brauchst du keinen Code, um diesen zu öffnen."

ShopStoreVendingCashRegisterPlayerITAV,blocks,Container,,,"Player Owned Shop",,"Spiel eigener Shop"
ShopStoreVendingCashRegisterPlayerGroupDescITAV,blocks,Container,,,"Create your own Shop to sell goods for Casino Coins. Buy the goods you need from other survivors to support them and the community! The Shop is indestructible unless falling. Any uncollected money in the Shop disappears if the Shop is picked up.",,"Erstelle deinen eigenen Shop, um Waren für Casino-Münzen zu verkaufen. Kaufe die Waren, die du benötigst, von anderen Überlebenden, um sie und die Community zu unterstützen! Der Shop ist unzerstörbar, es sei denn, er fällt herunter. Nicht eingesammeltes Geld im Shop verschwindet, wenn der Shop abgeholt wird. "
xuiVendingWithOwner,UI,Menu,,,"{0}'s Shop",,"{0}s Laden"
cntLotteryBoxPlaceableITAV,blocks,Container,,,"100k LOTTERY BOX!",,"100.000 LOTTERIEKASTEN!"
cntLootLotteryBoxITAV,blocks,Container,,,"100k LOTTERY BOX!",,"100.000 LOTTERIEKASTEN!"
cntLotteryBoxPlaceableDescITAV,blocks,Container,,,"Place and open this box for a chance to win 100.000 Duke's Casino tokens! \n \n  Craftable by the Mechanic.",,"Platziere und öffne diese Kiste, um 100.000 Duke's Casino Token zu gewinnen! \n \n  Kann vom Mechaniker hergestellt werden."
lotteryITAV,ui_display,Item stat,,,"A chance to win 100k Duke coins:",,"Eine Chance, 100.000 Duke-Münzen zu gewinnen:"
lotteryPlaceITAV,ui_display,Item stat,,,"Place box on the ground to loot:",,"Kiste zum Plündern auf den Boden stellen:"
bodyBagYellowPlaceableITAV,blocks,,,,"Flesh Bag",,"Fleischbeutel"
bodyBagYellowPlaceableITAVDesc,blocks,,,,"A homemade flesh bag for purposefully decaying perfectly good meat into rotting, dripping goo best left untouched.",,"Ein hausgemachter Fleischbeutel, um absichtlich vollkommen gutes Fleisch in verrottende, tropfende Fleisch zu zersetzen, das am besten unberührt bleibt."
bodyBagYellowITAV,blocks,,,,"Flesh Bag (Decaying)",,"Fleischbeutel (verwesend)"
bodyBagYellowITAVDesc,blocks,,,,""
bodyBagYellowFliesITAV,blocks,,,,"Ripe Flesh Bag",,"Tasche mit reifem Fleisch"
bodyBagYellowFliesITAVDesc,blocks,,,,"Ripe Flesh Bag",,"Tasche mit reifem Fleisch"
bedrollTombCasketCoffinITAV,blocks,,,,"Sleeping Casket",,"Bett"


statInsanityRisk,,,,,"Insanity Risk",,"Wahnsinnsrisiko"
statStopsInsanity,,,,,"Cure Insanity",,"Wahnsinn heilen"


lblContextActionAssemble,blocks,,,,"Assemble",,"Montieren"
lblContextActionPrepare,blocks,,,,"Prepare",,"Vorbereiten"
lblContextActionExtract,blocks,,,,"Defile",,"Verunreinigen"
lblCategoryAdvancedChemicals,UI,Tooltip,,,"Advanced Chemicals",,"Fortgeschrittene Chemikalien"
lblCategoryAdvancedMedicine,UI,Tooltip,,,"Advanced Medicine",,"Fortgeschrittene Medizin"
workbenchMinerT2ITAV,blocks,,,,"Advanced Miner's Table",,"Tisch des fortgeschrittenen Bergmanns"
chemistryStationT2ITAV,blocks,,,,"Advanced Chemistry Station",,"Fortgeschrittene Chemiestation"
chemistryStationT2ITAVDesc,blocks,,,,"The Advanced Chemistry Station is crafted in the regular Chemistry Station.",,"Die Fortgeschrittene Chemiestation wird in der regulären Chemiestation hergestellt."
campfireT2ITAV,blocks,,,,"Advanced Cooking Stove",,"Fortschrittlicher Kochherd"
workbenchFarmerT1ITAV,blocks,,,,"Farmer's Sink",,"Bauernspüle"
workbenchRoboticsT2ITAV,blocks,,,,"Advanced Robotic's Table",,"Fortgeschrittener Robotertisch"
workbenchRunnerT2ITAV,blocks,,,,"Advanced Mechanic's Table",,"Tisch für Fortgeschrittene Mechaniker"
workbenchDecoratorT1ITAV,blocks,,,,"Decorator's Table Saw",,"Tischkreissäge für Dekorateure"
workbenchReaperT2ITAV,blocks,,,,"Reaper's Vat",,"Reaper's Steuer"
campfireDecoITAV,blocks,,,,"Firewood",,"Brennholz"

workstationT2ITAVTip_title,Journal Tip,,,,"Advanced Workstations",,"Erweiterte Arbeitsstationen"
workstationT2ITAVTip,Journal Tip,,,,"The most advanced recipes require a profession specific advanced workstation to craft. Advanced workstations have a higher heat signature than basic workstations.",,"Die fortschrittlichsten Rezepte erfordern eine berufsspezifische fortgeschrittene Arbeitsstation zum Herstellen. Fortgeschrittene Arbeitsstationen haben eine höhere Wärmesignatur als einfache Arbeitsstationen."

modDyeInvisibleITAV,item_modifiers,mod,,,"Dye: Invisible",,"Farbstoff: Unsichtbar"
modDyeStarkYellowITAV,item_modifiers,mod,,,"Dye: Stark Yellow",,"Farbstoff: Starkes Gelb"
modDyeRichPurpleITAV,item_modifiers,mod,,,"Dye: Rich Purple",,"Farbstoff: Sattes Lila"
modDyeJetBlackITAV,item_modifiers,mod,,,"Dye: Jet Black",,"Farbstoff: Tiefschwarz"
modDyeWineRedITAV,item_modifiers,mod,,,"Dye: Wine Red",,"Farbstoff: Weinrot"
modDyeMarineBlueITAV,item_modifiers,mod,,,"Dye: Marine Blue",,"Farbstoff: Marineblau"
modDyeHotPinkITAV,item_modifiers,mod,,,"Dye: Hot Pink",,"Farbstoff: Hot Pink"
modDyeOrangeITAV,item_modifiers,mod,,,"Dye: Orange",,"Farbstoff: Orange"
modDyeTealITAV,item_modifiers,mod,,,"Dye: Teal",,"Farbstoff: Blaugrün"
modDyePineITAV,item_modifiers,mod,,,"Dye: Pine Green",,"Farbstoff: Kieferngrün"
modDyeHunterGreenITAV,item_modifiers,mod,,,"Dye: Hunter Green",,"Farbstoff: Jägergrün"
modApparelGeneralITAVDesc,item_modifiers,mod,,,"This cosmetic mod includes double pockets!",,"Dieser kosmetische Mod enthält doppelte Taschen!"
modApparelHazmatMaskITAV,item_modifiers,mod,,,"Hazmat Mask Mod",,"Schutzmasken Mod"
modApparelHazmatBootsITAV,item_modifiers,mod,,,"Hazmat Boots Mod",,"Schutzstiefel Mod"
modApparelHazmatPantsITAV,item_modifiers,mod,,,"Hazmat Pants Mod",,"Schutzhosen Mod"
modApparelHazmatJacketITAV,item_modifiers,mod,,,"Hazmat Jacket Mod",,"Schutzjacken Mod"
modApparelHazmatGlovesITAV,item_modifiers,mod,,,"Hazmat Gloves Mod",,"Schutzhandschuhe Mod"
modApparelDenimPantsITAV,item_modifiers,mod,,,"Denim Pants Mod",,"Denimhosen-Mod"
modApparelDenimShortsPantsITAV,item_modifiers,mod,,,"Denim Shorts Mod",,"Denim-Shorts-Mod"
modApparelArmyPantsITAV,item_modifiers,mod,,,"BDU Pants Mod",,"BDU Hosen Mod"
modApparelOverallsITAV,item_modifiers,mod,,,"Overalls Mod",,"Overalls Mod"
modApparelSkirtITAV,item_modifiers,mod,,,"Skirt Mod",,"Rock-Mod"
modApparelGothPantsITAV,item_modifiers,mod,,,"Gothic Pants Mod",,"Gothic-Hosen-Mod"
modApparelWornBootsITAV,item_modifiers,mod,,,"Worn Boots Mod",,"Abgenutzte Stiefel-Mod"
modApparelRunningShoesRegularITAV,item_modifiers,mod,,,"Running Shoes Mod",,"Laufschuhe Mod"
modApparelCowboyBootsITAV,item_modifiers,mod,,,"Cowboy Boots Mod",,"Cowboystiefel-Mod"
modApparelGothBootsITAV,item_modifiers,mod,,,"Goth Boots Mod",,"Goth-Stiefel-Mod"
modApparelLongShirtITAV,item_modifiers,mod,,,"Long Sleeved Shirt Mod",,"Langarmshirt Mod"
modApparelArmyShirtITAV,item_modifiers,mod,,,"BDU Top Mod",,"BDU-Top-Mod"
modApparelSweatshirtITAV,item_modifiers,mod,,,"Sweatshirt Mod",,"Sweatshirt-Mod"
modApparelFlannelShirtITAV,item_modifiers,mod,,,"Flannel Shirt Mod",,"Flanellhemd Mod"
modApparelTShirtPlainITAV,item_modifiers,mod,,,"T-shirt Mod",,"T-shirt Mod"
modApparelTShirtZUITAV,item_modifiers,mod,,,"ZU T-shirt Mod",,"ZU T-shirt Mod"
modApparelTankTopITAV,item_modifiers,mod,,,"Tank Top Mod",,"Tank Top Mod"
modApparelHoodySweatshirtITAV,item_modifiers,mod,,,"Hoodie Mod",,"Hoodie Mod"
modApparelCoatLeatherPonchoITAV,item_modifiers,mod,,,"Poncho Mod",,"Poncho Mod"
modApparelCoatLeatherDusterITAV,item_modifiers,mod,,,"Leather Duster Mod",,"Leder Staubtuch-Mod"
modApparelCoatPufferCoatITAV,item_modifiers,mod,,,"Puffer Coat Mod",,"Puffermantel-Mod"
modApparelCoatJacketGenericITAV,item_modifiers,mod,,,"Jacket Mod",,"Jacken-Mod"
modApparelCoatJacketLetterZUITAV,item_modifiers,mod,,,"College Jacket Mod",,"College-Jacke Mod"
modApparelSuitPantsITAV,item_modifiers,mod,,,"Suit Pants Mod",,"Anzughosen-Mod"
modApparelSuitJacketITAV,item_modifiers,mod,,,"Suit Jacket Mod",,"Anzugsjacken-Mod"
modApparelSuitDressShoesITAV,item_modifiers,mod,,,"Dress Shoes Mod",,"Kleiderschuhe Mod"
modApparelPlantFiberGlovesITAV,item_modifiers,mod,,,"Plant Fiber Gloves Mod",,"Pflanzenfaserhandschuhe Mod"
modApparelPlantFiberShoesITAV,item_modifiers,mod,,,"Plant Fiber Shoes Mod",,"Pflanzenfaserschuhe Mod"
modApparelGhillieSuitHoodITAV,item_modifiers,mod,,,"Ghillie Hood Mod",,"Ghillie Hood-Mod"
modApparelGhillieSuitPantsITAV,item_modifiers,mod,,,"Ghillie Pants Mod",,"Ghillie Hose Mod"
modApparelGhillieSuitJacketITAV,item_modifiers,mod,,,"Ghillie Jacket Mod",,"Ghillie Jacken Mod"

weaponsITAVDesc,items,,,,"Repair with a Weapon Repair Kit. \n Scrap to Weapon Part Fragments.",,"Mit einem Waffenreparaturset reparieren. \n  In Waffenteilfragmente zerlegen."
toolsITAVDesc,items,,,,"Repair with a Repair Kit. \n Scrap to Tool Part Fragments.",,"Mit einem Reparatursatz reparieren. \n In Werkzeugteilfragmente zerlegen."
